sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-19T10:27:53.914Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":684,""window_innerWidth"":1440,""window_innerHeight"":732,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4964.872000023935,,response,,,,,,,,,,,continue,click button,,,,,,,,,12556.09500000719,12553.200000023935,7554.996,7568.170000042301,7588.328,12558.192,{},,
Volume calibration,html.Screen,0_1,2021-04-19T10:28:23.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29829.4530000098,,response,,,,,,,,,,,continue,click button,,,,,,,,,42396.39500004705,42387.6450000098,12541.526,12556.350000028033,12558.192,42407.249,,,
Task instructions,html.Screen,0_2,2021-04-19T10:28:44.023Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20256.781000043564,,response,,,,,,,,,,,continue,click button,,,,,,,,,62666.24000004958,62664.03000004357,42390.583,42400.90000000782,42407.249,62674.023,,,
Sounds,html.Screen,0_3_0_0,2021-04-19T10:28:48.269Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,66913.06500002975,66907.187,62657.357,62666.59500001697,62674.023,66923.853,,,
Judgement,html.Screen,0_3_0_1,2021-04-19T10:28:49.548Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1263.9120000387775,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,68191.47000001976,68187.76500003878,66907.187,66913.30500005279,66923.853,68207.135,,,
Trial,flow.Sequence,0_3_0,2021-04-19T10:28:49.548Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5513.742000038779,,completion,,,,,,,,,3,,,,,,,,O,I,S,,68191.82000000728,68187.76500003878,62657.357,62666.530000045896,62674.023,68207.135,,,
Sounds,html.Screen,0_3_1_0,2021-04-19T10:28:53.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,72442.68000003649,72440.299,68190.469,68191.95000000764,68207.135,72456.965,,,
Judgement,html.Screen,0_3_1_1,2021-04-19T10:28:55.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2024.3350000431237,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,74496.93500000285,74481.30000004312,72440.299,72442.99000001047,72456.965,74517.962,,,
Trial,flow.Sequence,0_3_1,2021-04-19T10:28:55.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6274.1650000431255,,completion,,,,,,,,,3,,,,,,,,I,O,S,,74497.29000002844,74481.30000004312,68190.469,68191.9100000523,68207.135,74517.962,,,
Sounds,html.Screen,0_3_2_0,2021-04-19T10:29:00.110Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,78753.65500000771,78751.126,74501.296,74497.49000003794,74517.962,78767.792,,,
Judgement,html.Screen,0_3_2_1,2021-04-19T10:29:00.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,824.3130000470119,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,79594.3800000241,79592.10500004701,78751.126,78753.77000001026,78767.792,79601.092,,,
Trial,flow.Sequence,0_3_2,2021-04-19T10:29:00.951Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5074.143000047014,,completion,,,,,,,,,1,,,,,,,,S,I,O,,79594.74500000942,79592.10500004701,74501.296,74497.42500000866,74517.962,79601.092,,,
Sounds,html.Screen,0_3_3_0,2021-04-19T10:29:05.193Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,83837.10000000428,83834.256,79584.426,79594.91500002332,79601.092,83850.922,,,
Judgement,html.Screen,0_3_3_1,2021-04-19T10:29:05.964Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,753.9030000458151,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,84608.61000005389,84604.82500004582,83834.256,83837.36500004306,83850.922,84624.125,,,
