sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-18T16:39:25.140Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36 Edg/89.0.774.77"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":706,""window_innerWidth"":1536,""window_innerHeight"":754,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368.120000081808,,response,,,,,,,,,,,continue,click button,,,,,,,,,20820.635000010952,20783.340000081807,15347.882,15355.880000046454,15415.22,20833.889,{},,
Volume calibration,html.Screen,0_1,2021-04-18T16:39:39.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13952.29100005372,,response,,,,,,,,,,,continue,click button,,,,,,,,,34793.07500005234,34786.18000005372,20783.902,20825.935000088066,20833.889,34789.079,,,
Task instructions,html.Screen,0_2,2021-04-18T16:39:47.276Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8165.8460000854975,,response,,,,,,,,,,,continue,click button,,,,,,,,,42956.235000048764,42954.925000085495,34772.668,34793.42500003986,34789.079,42958.835,,,
Sounds,html.Screen,0_3_0_0,2021-04-18T16:39:51.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.480000000003,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,47197.96000001952,47194,42942.366,42956.6750000231,42958.835,47210.315,,,
Judgement,html.Screen,0_3_0_1,2021-04-18T16:39:58.215Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,3,,6683.095000018773,,response,,,,,,,,,3,,2,click #choice-2,,,,,O,I,S,,53894.85500007868,53893.410000018775,47194,47198.45000002533,47210.315,53896.116,,,
Trial,flow.Sequence,0_3_0,2021-04-18T16:39:58.218Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10934.575000018776,,completion,,,,,,,,,3,,,,,,,,O,I,S,,53898.31499999855,53893.410000018775,42942.366,42956.575000076555,42958.835,53896.116,,,
Sounds,html.Screen,0_3_1_0,2021-04-18T16:40:02.460Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.693999999996,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,58139.87000007182,58131.029,53879.914,53898.700000019744,53896.116,58147.81,,,
Judgement,html.Screen,0_3_1_1,2021-04-18T16:40:04.292Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1823.285000044445,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,59972.55499998573,59971.09500004444,58131.029,58140.11999999639,58147.81,59981.706,,,
Trial,flow.Sequence,0_3_1,2021-04-18T16:40:04.293Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6074.979000044441,,completion,,,,,,,,,1,,,,,,,,S,I,O,,59972.92000008747,59971.09500004444,53879.914,53898.61000003293,53896.116,59981.706,,,
Sounds,html.Screen,0_3_2_0,2021-04-18T16:40:08.546Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.623,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,64221.39000007883,64216.682,59965.085,59973.19000004791,59981.706,64233.329,,,
Judgement,html.Screen,0_3_2_1,2021-04-18T16:40:09.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,730.5010000224283,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,64965.21500009112,64963.830000022426,64216.682,64221.79500001948,64233.329,64966.924,,,
Trial,flow.Sequence,0_3_2,2021-04-18T16:40:09.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4982.124000022428,,completion,,,,,,,,,2,,,,,,,,I,S,O,,64965.545000042766,64963.830000022426,59965.085,59973.110000020824,59981.706,64966.924,,,
Sounds,html.Screen,0_3_3_0,2021-04-18T16:40:13.530Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253.016000000003,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,69205.31500002835,69201.888,64950.499,64965.8000000054,64966.924,69219.94,,,
Judgement,html.Screen,0_3_3_1,2021-04-18T16:40:14.109Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,563.7150000356487,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,69784.95500003919,69783.65500003565,69201.888,69205.53000003565,69219.94,69809.991,,,
Trial,flow.Sequence,0_3_3,2021-04-18T16:40:14.110Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4816.731000035652,,completion,,,,,,,,,1,,,,,,,,S,O,I,,69785.34500009846,69783.65500003565,64950.499,64965.71500005666,64966.924,69809.991,,,
Sounds,html.Screen,0_3_4_0,2021-04-18T16:40:18.362Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243.619000000006,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,74037.94499998912,74036.97,69769.123,69785.58000002522,69809.991,74053.61,,,
