sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-25T15:21:05.421Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1332,""scroll_height"":694,""window_innerWidth"":1332,""window_innerHeight"":742,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2992,,response,,,,,,,,,,,continue,click button,,,,,,,,,11195,8666,5674,5630,5702,11219,{},,
Volume calibration,html.Screen,0_1,2021-04-25T15:21:18.581Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11858,,response,,,,,,,,,,,continue,click button,,,,,,,,,24355,23060,11202,11195,11219,24383,,,
Task instructions,html.Screen,0_2,2021-04-25T15:21:29.890Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10005,,response,,,,,,,,,,,continue,click button,,,,,,,,,35663.00000000001,34370,24365,24355,24383,35682,,,
Sounds,html.Screen,0_3_0_0,2021-04-25T15:21:34.141Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,39915,39914,35665,35664,35682,39931,,,
Judgement,html.Screen,0_3_0_1,2021-04-25T15:21:34.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,-719,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,40487,39195,39914,39915,39931,40509,,,
Trial,flow.Sequence,0_3_0,2021-04-25T15:21:34.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3513,,completion,,,,,,,,,3,,,,,,,,O,I,S,,40488,39195,35665,35664,35682,40509,,,
Sounds,html.Screen,0_3_1_0,2021-04-25T15:21:38.973Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4253,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,44746,44746,40493,40488,40509,44762,,,
Judgement,html.Screen,0_3_1_1,2021-04-25T15:21:39.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,-613,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,45425.00000000001,44133,44746,44747,44762,45446,,,
Trial,flow.Sequence,0_3_1,2021-04-25T15:21:39.652Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3624,,completion,,,,,,,,,1,,,,,,,,S,I,O,,45426,44133,40493,40488,40509,45446,,,
Sounds,html.Screen,0_3_2_0,2021-04-25T15:21:43.899Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4242,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,49672.00000000001,49672,45428,45426,45446,49688,,,
