sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T14:04:34.535Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,606aad87b9f57a82dd447d6a,,,,,,,,,,,,,,,5405.319999972693,,form submission,,,,,,,,,,,,,,,,,,,,,25940.479999990202,25939.804999972694,20467.887,20467.219999991357,20534.485,26025.461,{},,
Introduction,html.Screen,1_0,2021-04-24T14:04:40.480Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5855.908999959134,,response,,,,,,,,,,,continue,click button,,,,,,,,,31884.934999980032,31881.369999959134,25875.711,25948.634999920614,26025.461,31965.743,,,
Volume calibration,html.Screen,1_1,2021-04-24T14:05:04.238Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23673.6519999474,,response,,,,,,,,,,,continue,click button,,,,,,,,,55643.3599999873,55639.3949999474,31865.894,31885.169999906793,31965.743,55676.884,,,
Task instructions,html.Screen,1_2,2021-04-24T14:05:18.079Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13805.385999920392,,response,,,,,,,,,,,continue,click button,,,,,,,,,69483.36999991443,69482.26999992039,55626.913,55646.72999992035,55676.884,69487.468,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T14:05:22.348Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259.659,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,73752.46999994852,73713.848,69470.872,69483.7299999781,69487.468,73747.127,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T14:05:25.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,3585.9229998992378,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,77334.18999996502,77333.04999989923,73713.848,73752.8099999763,73747.127,77341.252,,,
Trial,flow.Sequence,1_3_0,2021-04-24T14:05:25.930Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7845.581999899237,,completion,,,,,,,,,2,,,,,,,,I,S,O,,77334.59999994375,77333.04999989923,69470.872,69483.65999991074,69487.468,77341.252,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T14:05:30.164Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243.019,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,81568.56499996502,81567.672,77324.64,77334.79999995325,77341.252,81584.271,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T14:05:31.450Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1268.8289999493427,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,82854.24999997485,82853.09999994934,81567.672,81568.84999992326,81584.271,82865.54,,,
Trial,flow.Sequence,1_3_1,2021-04-24T14:05:31.450Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5511.847999949343,,completion,,,,,,,,,3,,,,,,,,O,I,S,,82854.71999994479,82853.09999994934,77324.64,77334.74500000011,77341.252,82865.54,,,
