sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T15:34:06.919Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_d/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1340,""scroll_height"":639,""window_innerWidth"":1340,""window_innerHeight"":687,""devicePixelRatio"":2}",,,,,,,,,,,,,,,602a611b977e11016b6d2d18,,,,,,,,,,,,,,,23004.59999996811,,form submission,,,,,,,,,,,,,,,,,,,,,34418.88500005007,34418.38499996811,11263.791,11405.6349999737,11413.785,34418.499,{},,
Introduction,html.Screen,1_0,2021-04-24T15:34:18.290Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11366.451000001114,,response,,,,,,,,,,,continue,click button,,,,,,,,,45788.67000003811,45784.95000000112,34401.833,34419.229999999516,34418.499,45801.377,,,
Volume calibration,html.Screen,1_1,2021-04-24T15:34:53.244Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34942.55299999691,,response,,,,,,,,,,,continue,click button,,,,,,,,,80748.4800000675,80743.92999999691,45784.711,45788.799999980256,45801.377,80749.375,,,
Task instructions,html.Screen,1_2,2021-04-24T15:35:20.916Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27671.119999969378,,response,,,,,,,,,,,continue,click button,,,,,,,,,108422.51499998383,108420.49499996938,80732.709,80748.58999997377,80749.375,108431.601,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T15:35:25.167Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254.248000000007,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,112672.8750000475,112669.183,108414.935,108422.77499998454,108431.601,112685.849,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T15:35:28.364Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,3181.726000040231,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,115869.99999999534,115867.57500004023,112669.183,112673.04000002332,112685.849,115885.721,,,
Trial,flow.Sequence,1_3_0,2021-04-24T15:35:28.364Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7435.974000040238,,completion,,,,,,,,,2,,,,,,,,O,S,I,,115870.34999998286,115867.57500004023,108414.935,108422.71000007167,108431.601,115885.721,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T15:35:32.614Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.830000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,120120.37999997847,120118.885,115869.055,115870.48000004143,115885.721,120135.551,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T15:35:33.663Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1031.4889999711595,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,121169.35500002,121167.03999997117,120118.885,120120.51499995869,120135.551,121179.048,,,
Trial,flow.Sequence,1_3_1,2021-04-24T15:35:33.663Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5281.318999971161,,completion,,,,,,,,,1,,,,,,,,S,I,O,,121169.56499998923,121167.03999997117,115869.055,115870.43999996968,115885.721,121179.048,,,
