sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T17:05:03.003Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5c4a061161db8c00015e4fb0,,,,,,,,,,,,,,,12687.506999991525,,form submission,,,,,,,,,,,,,,,,,,,,,26462.085000006482,26461.524999991525,13707.827,13719.32000000379,13774.018,26473.298,{},,
Introduction,html.Screen,1_0,2021-04-24T17:05:11.612Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8594.96200000001,,response,,,,,,,,,,,continue,click button,,,,,,,,,35070.49499999266,35068.26000000001,26456.667,26462.70000000368,26473.298,35072.858,,,
Volume calibration,html.Screen,1_1,2021-04-24T17:06:03.780Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52162.93200000609,,response,,,,,,,,,,,continue,click button,,,,,,,,,87239.07499999041,87235.79000000609,35056.16,35070.644999999786,35072.858,87254.362,,,
Task instructions,html.Screen,1_2,2021-04-24T17:06:24.924Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21127.787999990367,,response,,,,,,,,,,,continue,click button,,,,,,,,,108382.95999998809,108382.14999999036,87220.004,87239.20499999076,87254.362,108385.515,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T17:06:29.163Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.786999999997,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,112621.31499999668,112618.639,108368.863,108383.18499998422,108385.515,112635.302,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T17:06:30.628Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1450.9129999884462,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,114087.09499999532,114086.21499998844,112618.639,112621.46500000381,112635.302,114101.863,,,
Trial,flow.Sequence,1_3_0,2021-04-24T17:06:30.629Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700.699999988443,,completion,,,,,,,,,2,,,,,,,,O,S,I,,114087.3750000028,114086.21499998844,108368.863,108383.13499998185,108385.515,114101.863,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T17:06:34.877Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.736000000004,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,118335.46999999089,118334.981,114085.293,114087.53499999875,114101.863,118351.599,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T17:06:35.755Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,861.5459999869781,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,119213.96999998251,119213.14499998698,118334.981,118335.60500000021,118351.599,119218.805,,,
Trial,flow.Sequence,1_3_1,2021-04-24T17:06:35.755Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5111.281999986983,,completion,,,,,,,,,2,,,,,,,,I,S,O,,119214.14999998524,119213.14499998698,114085.293,114087.47999998741,114101.863,119218.805,,,
