"","subject","music_frequency","Blues","Classical","Country","Dance","Electronic","Folk","Gospel","Hip.Hop","Jazz","Latin","Musical.Film","New.age","Pop","R.B","Rap","Reggae","Religious","Rock","Soul","Swing","Traditional","Pool"
"1",1,4.5,"false","false","false","true","false","false","false","false","false","false","true","false","true","true","true","false","true","false","false","false","false","University pool"
"2",2,1.5,"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"3",3,5,"false","false","false","false","true","false","false","true","false","true","true","true","true","false","false","false","false","false","false","false","false","University pool"
"4",4,1,"false","false","false","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false","false","false","false","University pool"
"5",5,4,"false","true","false","true","false","false","false","false","false","false","false","false","true","false","true","false","false","true","false","true","false","University pool"
"6",6,7,"false","false","false","true","true","false","false","true","false","true","false","false","true","true","true","false","false","true","false","false","false","University pool"
"7",7,7,"false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"8",8,0.5,"false","false","false","false","false","false","false","true","false","false","false","false","false","true","true","false","false","true","false","false","false","University pool"
"9",9,8,"true","false","true","false","false","false","false","false","true","true","true","false","true","false","false","false","false","true","false","false","false","University pool"
"10",10,2,"false","false","false","false","false","false","false","true","true","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"11",11,4,"false","false","false","true","true","false","false","true","false","false","false","false","false","false","true","false","false","true","false","false","false","University pool"
"12",12,3,"false","true","true","false","false","false","false","true","false","false","false","false","false","true","true","false","false","true","false","false","false","University pool"
"13",13,6,"false","false","false","true","false","false","false","true","false","false","false","false","false","true","true","false","false","false","false","false","false","University pool"
"14",14,1.5,"true","true","false","true","false","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"15",15,3,"false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","true","false","false","false","University pool"
"16",16,2,"false","false","false","false","false","false","false","true","false","false","false","true","true","true","true","false","false","true","false","false","false","University pool"
"17",17,2,"false","false","false","false","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","University pool"
"18",18,1.5,"false","false","false","false","false","false","false","true","false","false","false","false","true","false","true","false","false","false","false","false","false","University pool"
"19",19,5,"false","false","false","true","false","false","false","true","false","false","true","false","true","false","true","false","false","false","false","false","false","University pool"
"20",20,1.5,"false","false","false","true","false","true","false","false","false","false","true","false","true","false","true","false","false","true","false","false","false","University pool"
"21",21,4,"false","false","false","false","false","false","false","true","true","false","false","false","false","true","true","false","false","true","true","false","false","University pool"
"22",22,1,"false","true","false","false","false","false","false","false","true","true","true","false","true","false","false","true","false","true","false","false","false","University pool"
"23",23,6,"false","false","false","true","false","false","false","true","false","true","false","true","true","true","true","true","false","false","true","false","false","University pool"
"24",24,3,"false","false","false","true","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false","false","false","University pool"
"25",25,3,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","University pool"
"26",26,4,"false","false","false","true","false","false","false","true","false","false","false","false","true","false","true","false","false","true","false","false","false","University pool"
"27",27,2,"false","false","false","true","false","false","false","true","false","false","false","false","true","true","false","true","false","false","false","false","false","University pool"
"28",28,4,"false","false","true","true","false","false","false","true","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"29",29,2,"false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","University pool"
"30",30,1,"false","false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","University pool"
"31",31,5,"false","false","false","true","false","false","false","true","false","false","true","false","true","true","true","false","false","true","false","false","false","University pool"
"32",32,5,"false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","true","false","false","false","University pool"
"33",33,1,"false","false","false","true","false","false","false","false","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"34",34,1,"false","false","false","true","false","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"35",35,3,"false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","false","false","true","false","false","false","University pool"
"36",36,4,"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","false","true","false","false","false","University pool"
"37",37,2,"false","false","false","true","false","false","false","true","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"38",38,2,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","true","false","false","true","false","false","false","University pool"
"39",39,6,"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","false","true","false","false","false","University pool"
"40",40,0.75,"false","false","false","true","false","false","false","true","false","false","false","false","false","false","true","true","false","true","false","false","false","University pool"
"41",41,8,"false","false","false","true","false","false","false","true","true","false","false","false","false","true","true","false","false","true","false","false","false","University pool"
"42",42,2,"false","true","false","false","false","false","false","true","false","false","true","false","true","true","false","false","false","true","false","false","false","University pool"
"43",43,4,"true","false","false","true","true","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"44",44,2,"false","true","false","true","true","false","false","false","false","false","true","false","true","true","true","false","true","true","true","false","false","University pool"
"45",45,2,"false","false","false","true","true","false","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","University pool"
"46",46,3,"false","false","false","true","false","false","false","true","false","false","false","true","true","true","true","true","false","true","false","false","false","University pool"
"47",47,7,"false","false","false","true","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false","false","false","University pool"
"48",48,3,"false","true","false","true","false","false","false","false","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"49",49,3,"false","false","false","false","false","false","false","true","false","false","false","false","true","true","false","false","false","false","false","false","false","University pool"
"50",50,12,"false","false","true","false","true","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","University pool"
"51",51,3,"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","false","false","true","false","false","University pool"
"52",52,3,"false","true","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","University pool"
"53",53,2,"false","false","false","false","false","false","false","false","false","false","true","false","true","false","true","false","false","false","false","false","false","University pool"
"54",54,2,"false","false","false","false","false","false","false","false","false","false","false","false","true","true","false","false","false","false","true","false","false","University pool"
"55",55,5,"false","false","false","false","false","false","false","false","false","false","false","false","true","false","false","false","false","false","false","false","false","University pool"
"56",56,4,"false","false","false","true","true","false","false","true","false","false","false","false","true","true","true","false","false","false","false","false","false","University pool"
"57",57,6,"true","false","false","false","false","false","false","true","true","false","false","false","false","true","true","false","false","false","true","false","false","University pool"
"58",58,1,"false","false","false","true","false","false","false","true","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"59",59,1,"false","true","false","false","false","false","false","false","false","false","true","false","true","true","false","false","false","false","false","false","false","University pool"
"60",60,6,"false","false","false","false","false","false","false","false","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"61",61,1,"false","true","false","true","false","false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","false","University pool"
"62",62,3,"false","false","false","false","false","true","false","true","false","false","true","false","true","true","true","false","false","false","false","false","false","University pool"
"63",63,1,"false","false","true","false","false","false","false","false","false","false","true","false","true","false","false","false","false","false","false","false","false","University pool"
