"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse"
1,1,NA,"A",0,3357,"silence","response","FALSE","TRUE"
1,1,NA,"A",1,5256,"silence","response","FALSE","FALSE"
1,4,NA,"A",1,3162,"silence","response","FALSE","FALSE"
1,4,NA,"A",1,1867,"silence","response","TRUE","TRUE"
1,7,NA,"A",1,2240,"silence","response","FALSE","FALSE"
1,7,NA,"A",1,8532.00000000006,"silence","response","TRUE","TRUE"
1,10,NA,"A",1,6579,"silence","response","TRUE","TRUE"
1,10,NA,"A",1,2819,"silence","response","TRUE","TRUE"
1,8,NA,"A",1,3780,"lyrical","response","FALSE","FALSE"
1,8,NA,"A",1,2476,"lyrical","response","TRUE","TRUE"
1,11,NA,"A",0,5357,"lyrical","response","TRUE","FALSE"
1,11,NA,"A",0,7209.00000000006,"lyrical","response","TRUE","FALSE"
1,5,NA,"A",1,2004,"lyrical","response","FALSE","FALSE"
1,5,NA,"A",0,6098.00000000006,"lyrical","response","FALSE","TRUE"
1,2,NA,"A",0,9306,"lyrical","response","TRUE","FALSE"
1,2,NA,"A",1,2382,"lyrical","response","FALSE","FALSE"
1,3,NA,"A",1,3014,"instrumental","response","TRUE","TRUE"
1,3,NA,"A",0,3064,"instrumental","response","TRUE","FALSE"
1,9,NA,"A",1,2599,"instrumental","response","TRUE","TRUE"
1,9,NA,"A",1,2240,"instrumental","response","FALSE","FALSE"
1,6,NA,"A",1,3967,"instrumental","response","TRUE","TRUE"
1,6,NA,"A",1,1804,"instrumental","response","TRUE","TRUE"
1,12,NA,"A",1,2058,"instrumental","response","FALSE","FALSE"
1,12,NA,"A",1,1270,"instrumental","response","TRUE","TRUE"
