sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-27T19:29:14.121Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 11_2_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":800,""scroll_width"":1280,""scroll_height"":616,""window_innerWidth"":1280,""window_innerHeight"":664,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,51374.88400002582,,response,,,,,,,,,,,continue,click button,,,,,,,,,76409.04000005685,76404.22000002582,24979.317,24988.08999999892,25029.336,76412.573,{},,
Volume calibration,html.Screen,0_1,2021-04-27T19:30:12.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58682.46200000573,,response,,,,,,,,,,,continue,click button,,,,,,,,,135104.94500002824,135095.03500000574,76395.9,76409.56000005826,76412.573,135113.661,,,
Task instructions,html.Screen,0_2,2021-04-27T19:30:29.181Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16350.459000018745,,response,,,,,,,,,,,continue,click button,,,,,,,,,151467.41000004113,151464.12000001874,135096.988,135105.135000078,135113.661,151475.785,,,
Sounds,html.Screen,0_3_0_0,2021-04-27T19:30:33.429Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.614999999991,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,155715.58000007644,155710.727,151459.112,151467.8449999774,151475.785,155727.4,,,
Judgement,html.Screen,0_3_0_1,2021-04-27T19:30:35.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2017.8800000319316,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,157748.84500005282,157745.28000003193,155710.727,155715.8599999966,155727.4,157761.506,,,
Trial,flow.Sequence,0_3_0,2021-04-27T19:30:35.463Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6269.495000031922,,completion,,,,,,,,,3,,,,,,,,I,O,S,,157749.46500000078,157745.28000003193,151459.112,151467.73500007112,151475.785,157761.506,,,
Sounds,html.Screen,0_3_1_0,2021-04-27T19:30:39.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.61500000002,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,161999.70000004396,161996.448,157744.833,157749.7399999993,157761.506,162013.121,,,
Judgement,html.Screen,0_3_1_1,2021-04-27T19:30:43.380Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,3649.8089999913063,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,165666.29500000272,165662.92999999132,161996.448,161999.93000004906,162013.121,165682.443,,,
Trial,flow.Sequence,0_3_1,2021-04-27T19:30:43.381Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7901.423999991326,,completion,,,,,,,,,2,,,,,,,,I,S,O,,165666.65500006638,165662.92999999132,157744.833,157749.6599999722,157761.506,165682.443,,,
Sounds,html.Screen,0_3_2_0,2021-04-27T19:30:47.635Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.614999999991,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,169920.33500003163,169917.385,165665.77,165666.9150000671,165682.443,169934.058,,,
Judgement,html.Screen,0_3_2_1,2021-04-27T19:30:48.593Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,941.0870000563737,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,170878.63000005018,170875.14500005636,169917.385,169920.53500004113,169934.058,170884.419,,,
Trial,flow.Sequence,0_3_2,2021-04-27T19:30:48.593Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5192.702000056364,,completion,,,,,,,,,1,,,,,,,,S,I,O,,170879.03499999084,170875.14500005636,165665.77,165666.83500004,165682.443,170884.419,,,
Sounds,html.Screen,0_3_3_0,2021-04-27T19:30:52.836Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.61500000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,175121.3749999879,175119.361,170867.746,170879.43500000983,170884.419,175136.034,,,
Judgement,html.Screen,0_3_3_1,2021-04-27T19:30:53.530Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,675.9710000725172,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,175815.6799999997,175812.00500007253,175119.361,175121.53500004206,175136.034,175830.181,,,
Trial,flow.Sequence,0_3_3,2021-04-27T19:30:53.530Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4927.586000072537,,completion,,,,,,,,,3,,,,,,,,O,I,S,,175815.99999999162,175812.00500007253,170867.746,170879.3350000633,170884.419,175830.181,,,
Sounds,html.Screen,0_3_4_0,2021-04-27T19:30:57.783Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.614999999991,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,180067.9699999746,180065.123,175813.508,175816.2050000392,175830.181,180081.796,,,
Judgement,html.Screen,0_3_4_1,2021-04-27T19:30:58.435Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,635.6140000411251,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,180720.8850000752,180717.41000004113,180065.123,180068.17500002217,180081.796,180732.043,,,
Trial,flow.Sequence,0_3_4,2021-04-27T19:30:58.436Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4887.229000041116,,completion,,,,,,,,,1,,,,,,,,S,O,I,,180721.19499999098,180717.41000004113,175813.508,175816.14500004798,175830.181,180732.043,,,
Sounds,html.Screen,0_3_5_0,2021-04-27T19:31:02.683Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.614999999991,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,184968.18500000518,184966.985,180715.37,180721.39500000048,180732.043,184983.658,,,
Judgement,html.Screen,0_3_5_1,2021-04-27T19:31:03.300Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,598.4470000377041,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,185585.74999996927,185582.1050000377,184966.985,184968.37500005495,184983.658,185589.075,,,
Trial,flow.Sequence,0_3_5,2021-04-27T19:31:03.301Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4850.062000037695,,completion,,,,,,,,,2,,,,,,,,O,S,I,,185586.05000004172,185582.1050000377,180715.37,180721.33500000928,180732.043,185589.075,,,
Task,flow.Loop,0_3,2021-04-27T19:31:03.308Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34106.3200000377,,completion,,,1,,,,,,,,,,,,,,,,,,185593.6900000088,185582.1050000377,151459.112,151467.6299999701,151475.785,185589.075,,,
Trap,html.Screen,0_4,2021-04-27T19:31:03.310Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,185595.22000001743,185582.1050000377,,185595.06500000134,,185589.075,,,
Thanks,html.Screen,0_5,2021-04-27T19:31:06.896Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3588.7449999825913,,response,,,,,,,,,,,continue,click button,,,,,,,,,189181.5400000196,189177.8199999826,185572.402,185595.44499998447,185589.075,194792.571,,,
Headphone screening,flow.Sequence,0,2021-04-27T19:31:06.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164148.4839999826,,completion,,,,,,,,,,,,,,,,,,,,,189181.8600000115,189177.8199999826,24979.317,24987.960000056773,25029.336,194792.571,,,
Instructions,html.Page,1_0,2021-04-27T19:31:49.659Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37150.16400004784,,form submission,,,,,,,,,,,,,,,,,,,,,231943.02500004414,231942.73500004783,194775.898,194782.5750000775,194792.571,231940.218,,,
Holding screen,html.Screen,1_1_0_0,2021-04-27T19:31:59.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.800000000017,,timeout,,,,,,,,,,,,,,,,,,,,,241929.4350000564,241927.345,231923.545,231943.33500007633,231940.218,241944.018,,,
screen,html.Screen,1_1_0_1_0,2021-04-27T19:32:00.713Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1042.3820000525157,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,242996.95000005886,242986.40000005253,241927.345,241929.75500004832,241944.018,243011.09,,0,When
screen,html.Screen,1_1_0_1_1,2021-04-27T19:32:01.562Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,827.9250000341272,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,243845.5800000811,243839.01500003412,242994.417,242997.18000006396,243011.09,243858.371,,1,it
