sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-16T19:40:03.544Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6151.000000000002,,response,,,,,,,,,,,continue,click button,,,,,,,,,16391,16147.000000000002,9996,9986,10013,16418,{},,
Volume calibration,html.Screen,0_1,2021-04-16T19:40:31.095Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27555,,response,,,,,,,,,,,continue,click button,,,,,,,,,43942,43956,16401,16391,16418,43961,,,
Task instructions,html.Screen,0_2,2021-04-16T19:40:44.053Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12971.000000000007,,response,,,,,,,,,,,continue,click button,,,,,,,,,56901,56916.00000000001,43945,43943,43961,56929,,,
Sounds,html.Screen,0_3_0_0,2021-04-16T19:40:48.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,61169.00000000001,61168,56913,56901,56929,61185,,,
Judgement,html.Screen,0_3_0_1,2021-04-16T19:40:51.643Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,3338,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,64491,64506,61168,61169.00000000001,61185,64511,,,
Trial,flow.Sequence,0_3_0,2021-04-16T19:40:51.644Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7577,,completion,,,,,,,,,2,,,,,,,,O,S,I,,64491,64506,56913,56901,56929,64511,,,
Sounds,html.Screen,0_3_1_0,2021-04-16T19:40:55.898Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,68745,68745,64496,64491,64511,68762,,,
Judgement,html.Screen,0_3_1_1,2021-04-16T19:40:58.294Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2413,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,71142,71158,68745,68746,68762,71165,,,
Trial,flow.Sequence,0_3_1,2021-04-16T19:40:58.295Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6647,,completion,,,,,,,,,3,,,,,,,,O,I,S,,71142,71158,64496,64491,64511,71165,,,
Sounds,html.Screen,0_3_2_0,2021-04-16T19:41:02.552Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,75400,75399,71147,71142,71165,75416,,,
