sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-25T02:29:41.498Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":2560,""screen_height"":1440,""scroll_width"":3200,""scroll_height"":1621,""window_innerWidth"":3200,""window_innerHeight"":1668,""devicePixelRatio"":0.800000011920929}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,7111.575999954701,response,,,,,,,,,,continue,click button,,,,,,,,,15266.084999952,15264.6099999547,8120.286,8128.904999990482,8153.034,15274.395,{},,
Volume calibration,html.Screen,0_1,2021-03-25T02:29:43.235Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.8350000051032,response,,,,,,,,,,continue,click button,,,,,,,,,17002.860000007786,17000.230000005104,15257.759,15266.354999970645,15274.395,17008.877,,,
Task instructions,html.Screen,0_2,2021-03-25T02:29:44.456Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1215.152999983031,response,,,,,,,,,,continue,click button,,,,,,,,,18224.6799999848,18224.02999998303,16992.229,17003.01499996567,17008.877,18226.325,,,
Sounds,html.Screen,0_3_0_0,2021-03-25T02:29:48.698Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.807000000001,timeout,,,,,,,,3,,,,,,,,I,O,S,,22466.769999999087,22462.473,18209.687,18224.894999992102,18226.325,22479.132,,,
Judgement,html.Screen,0_3_0_1,2021-03-25T02:29:49.272Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,560.0979999948577,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,23039.984999981243,23039.22999999486,22462.473,22467.06999995513,22479.132,23046.081,,,
Trial,flow.Sequence,0_3_0,2021-03-25T02:29:49.272Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4812.904999994858,completion,,,,,,,,3,,,,,,,,I,O,S,,23040.309999953024,23039.22999999486,18209.687,18224.849999998696,18226.325,23046.081,,,
Sounds,html.Screen,0_3_1_0,2021-03-25T02:29:53.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.858,timeout,,,,,,,,2,,,,,,,,I,S,O,,27283.394999976736,27282.304,23029.531,23040.45499995118,23046.081,27298.939,,,
Judgement,html.Screen,0_3_1_1,2021-03-25T02:29:54.023Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,491.61599995593133,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,27791.30499996245,27790.55499995593,27282.304,27287.099999957718,27298.939,27799.282,,,
Trial,flow.Sequence,0_3_1,2021-03-25T02:29:54.023Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4744.4739999559315,completion,,,,,,,,2,,,,,,,,I,S,O,,27791.540000005625,27790.55499995593,23029.531,23040.414999995846,23046.081,27799.282,,,
Sounds,html.Screen,0_3_2_0,2021-03-25T02:29:58.268Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.823,timeout,,,,,,,,2,,,,,,,,O,S,I,,32036.199999973178,32035.425,27782.654,27791.689999983646,27799.282,32052.105,,,
