sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-25T14:31:43.257Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_c/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1699,""scroll_height"":719,""window_innerWidth"":1699,""window_innerHeight"":767,""devicePixelRatio"":1.1299949884414673}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12657.830999976866,,response,,,,,,,,,,,continue,click button,,,,,,,,,19354.9350000103,19348.409999976866,6657.163,6666.809999966063,6690.579,19372.349,{},,
Volume calibration,html.Screen,0_1,2021-04-25T14:32:33.193Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49911.335999973046,,response,,,,,,,,,,,continue,click button,,,,,,,,,69291.16500000237,69283.68499997305,19339.136,19355.524999962654,19372.349,69299.226,,,
Task instructions,html.Screen,0_2,2021-04-25T14:32:50.465Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17262.67900000958,,response,,,,,,,,,,,continue,click button,,,,,,,,,86563.48499999149,86561.90500000957,69282.823,69291.62999999244,69299.226,86581.128,,,
Sounds,html.Screen,0_3_0_0,2021-04-25T14:32:54.721Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4248.592000000004,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,90819.0450000111,90813.347,86547.013,86564.09499997972,86581.128,90829.72,,,
Judgement,html.Screen,0_3_0_1,2021-04-25T14:32:56.634Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1899.9949999649252,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,92731.70499998378,92729.71499996493,90813.347,90819.43999999203,90829.72,92746.085,,,
Trial,flow.Sequence,0_3_0,2021-04-25T14:32:56.635Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6148.586999964929,,completion,,,,,,,,,2,,,,,,,,I,S,O,,92732.58999997051,92729.71499996493,86547.013,86563.9599999995,86581.128,92746.085,,,
Sounds,html.Screen,0_3_1_0,2021-04-25T14:33:00.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.550999999992,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,96980.38500000257,96979.141,92729.712,92732.97999997158,92746.085,96995.636,,,
Judgement,html.Screen,0_3_1_1,2021-04-25T14:33:01.541Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,641.3440000102273,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,97638.5049999808,97636.98000001023,96979.141,96980.69499997655,96995.636,97645.494,,,
Trial,flow.Sequence,0_3_1,2021-04-25T14:33:01.541Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4890.8950000102195,,completion,,,,,,,,,3,,,,,,,,O,I,S,,97639.03500000015,97636.98000001023,92729.712,92732.87499998696,92746.085,97645.494,,,
Sounds,html.Screen,0_3_2_0,2021-04-25T14:33:05.782Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.444999999992,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,101879.72999998601,101878.476,97628.885,97639.39999998547,97645.494,101894.939,,,
