sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-08T16:15:25.736Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":2560,""screen_height"":1440,""scroll_width"":3200,""scroll_height"":1621,""window_innerWidth"":3200,""window_innerHeight"":1668,""devicePixelRatio"":0.800000011920929}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,13623.142999893307,,response,,,,,,,,,,,continue,click button,,,,,,,,,25078.329999931157,25075.939999893308,11420.244,11427.774999989197,11452.797,25111.764,{},,
Volume calibration,html.Screen,0_1,2021-04-08T16:15:27.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555.9560000267484,,response,,,,,,,,,,,continue,click button,,,,,,,,,26672.839999897406,26667.720000026748,25061.753,25078.86500004679,25111.764,26679.522,,,
Task instructions,html.Screen,0_2,2021-04-08T16:15:28.038Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.1030000596038,,response,,,,,,,,,,,continue,click button,,,,,,,,,27380.614999914542,27379.625000059605,26662.826,26673.12499997206,26679.522,27396.611,,,
Sounds,html.Screen,0_3_0_0,2021-04-08T16:15:32.295Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.682000000001,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,31637.179999845102,31632.713,27379.958,27380.84500003606,27396.611,31649.293,,,
Judgement,html.Screen,0_3_0_1,2021-04-08T16:15:34.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,2585.3020000453726,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,34236.1099999398,34234.595000045374,31632.713,31637.480000033975,31649.293,34251.122,,,
Trial,flow.Sequence,0_3_0,2021-04-08T16:15:34.894Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6837.984000045373,,completion,,,,,,,,,2,,,,,,,,I,S,O,,34236.84499994852,34234.595000045374,27379.958,27380.789999850094,27396.611,34251.122,,,
Sounds,html.Screen,0_3_1_0,2021-04-08T16:15:39.146Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.780999999995,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,38488.344999961555,38487.273,34234.415,34237.19500005245,34251.122,38503.903,,,
Judgement,html.Screen,0_3_1_1,2021-04-08T16:15:39.604Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,441.93699994211056,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,38946.94499997422,38945.83999994211,38487.273,38488.60499984585,38503.903,38954.122,,,
Trial,flow.Sequence,0_3_1,2021-04-08T16:15:39.605Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4694.717999942106,,completion,,,,,,,,,1,,,,,,,,S,I,O,,38947.33999995515,38945.83999994211,34234.415,34237.094999989495,34251.122,38954.122,,,
Sounds,html.Screen,0_3_2_0,2021-04-08T16:15:43.849Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.863999999994,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,43191.239999840036,43190.306,38937.466,38947.629999835044,38954.122,43206.986,,,
Judgement,html.Screen,0_3_2_1,2021-04-08T16:15:44.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,386.03400002935814,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,43594.10499990918,43593.020000029355,43190.306,43191.4800000377,43206.986,43607.231,,,
Trial,flow.Sequence,0_3_2,2021-04-08T16:15:44.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4638.898000029352,,completion,,,,,,,,,1,,,,,,,,S,O,I,,43594.49000004679,43593.020000029355,38937.466,38947.544999886304,38954.122,43607.231,,,
Sounds,html.Screen,0_3_3_0,2021-04-08T16:15:48.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.864999999998,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,47844.37000006437,47843.412,43590.632,43594.74499989301,43607.231,47860.096,,,
