sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-29T11:34:40.843Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":952,""window_innerWidth"":1920,""window_innerHeight"":1000,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15443,response,,,,,,,,,,continue,click button,,,,,,,,,21292,20748,5305,5278.000000000001,5321,21320,{},,
Volume calibration,html.Screen,0_1,2021-03-29T11:35:25.008Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44150,response,,,,,,,,,,continue,click button,,,,,,,,,65457.00000000001,65453,21303,21293,21320,65484,,,
Task instructions,html.Screen,0_2,2021-03-29T11:36:01.897Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36875,response,,,,,,,,,,continue,click button,,,,,,,,,102345,102342,65467,65457.00000000001,65484,102364,,,
Sounds,html.Screen,0_3_0_0,2021-03-29T11:36:06.151Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,timeout,,,,,,,,3,,,,,,,,I,O,S,,106600.00000000001,106598,102348,102346,102364,106614,,,
Judgement,html.Screen,0_3_0_1,2021-03-29T11:36:06.971Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,818,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,107419,107416,106598,106600.00000000001,106614,107447,,,
Trial,flow.Sequence,0_3_0,2021-03-29T11:36:06.971Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5052,completion,,,,,,,,3,,,,,,,,I,O,S,,107420,107416,102348,102345,102364,107447,,,
Sounds,html.Screen,0_3_1_0,2021-03-29T11:36:11.234Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,timeout,,,,,,,,2,,,,,,,,O,S,I,,111682,111681,107431,107420,107447,111697,,,
Judgement,html.Screen,0_3_1_1,2021-03-29T11:36:13.248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,2013,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,113696,113694,111681,111682,111697,113714,,,
Trial,flow.Sequence,0_3_1,2021-03-29T11:36:13.248Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6247,completion,,,,,,,,2,,,,,,,,O,S,I,,113697,113694,107431,107420,107447,113714,,,
Sounds,html.Screen,0_3_2_0,2021-03-29T11:36:17.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,timeout,,,,,,,,2,,,,,,,,I,S,O,,117947,117947,113698,113697,113714,117964,,,
Judgement,html.Screen,0_3_2_1,2021-03-29T11:36:18.096Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,595,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,118545,118542,117947,117947,117964,118564,,,
Trial,flow.Sequence,0_3_2,2021-03-29T11:36:18.097Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4828,completion,,,,,,,,2,,,,,,,,I,S,O,,118545,118542,113698,113697,113714,118564,,,
Sounds,html.Screen,0_3_3_0,2021-03-29T11:36:22.349Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,timeout,,,,,,,,3,,,,,,,,O,I,S,,122797,122796,118548,118545,118564,122813,,,
