sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-19T00:44:46.033Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36 Edg/89.0.774.75"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":2048,""scroll_height"":957,""window_innerWidth"":2048,""window_innerHeight"":1005,""devicePixelRatio"":0.9375}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3273.5319999798085,,response,,,,,,,,,,,continue,click button,,,,,,,,,11733.189999940805,11731.069999979809,8440.833,8429.394999984652,8457.538,11742.16,{},,
Volume calibration,html.Screen,0_1,2021-04-19T00:44:55.486Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9439.374999981523,,response,,,,,,,,,,,continue,click button,,,,,,,,,21185.84499997087,21181.534999981523,11725.42,11733.565000002272,11742.16,21212.411,,,
Task instructions,html.Screen,0_2,2021-04-19T00:44:56.914Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400.1140000040978,,response,,,,,,,,,,,continue,click button,,,,,,,,,22613.804999971762,22612.525000004098,21195.764,21188.81500000134,21212.411,22629.627,,,
Sounds,html.Screen,0_3_0_0,2021-04-19T00:45:01.169Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.876,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,26868.244999903254,26864.605,22612.927,22614.169999957085,22629.627,26881.503,,,
Judgement,html.Screen,0_3_0_1,2021-04-19T00:45:01.859Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,676.1619999711656,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,27558.99499997031,27557.664999971166,26864.605,26868.509999942034,26881.503,27564.857,,,
Trial,flow.Sequence,0_3_0,2021-04-19T00:45:01.860Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4928.037999971166,,completion,,,,,,,,,3,,,,,,,,I,O,S,,27559.499999973923,27557.664999971166,22612.927,22614.08999993,22629.627,27564.857,,,
Sounds,html.Screen,0_3_1_0,2021-04-19T00:45:06.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.598000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,31801.404999918304,31800.186,27548.306,27559.724999940954,27564.857,31816.455,,,
Judgement,html.Screen,0_3_1_1,2021-04-19T00:45:07.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1777.40499990627,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,33595.169999985956,33593.85999990627,31800.186,31801.64999992121,31816.455,33600.489,,,
Trial,flow.Sequence,0_3_1,2021-04-19T00:45:07.896Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6029.002999906272,,completion,,,,,,,,,3,,,,,,,,O,I,S,,33595.4849999398,33593.85999990627,27548.306,27559.659999911673,27564.857,33600.489,,,
Sounds,html.Screen,0_3_2_0,2021-04-19T00:45:12.136Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.678,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,37836.10499999486,37835.407,33583.784,33595.70999990683,33600.489,37852.167,,,
