sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-19T10:17:52.264Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.128 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":577,""window_innerWidth"":1366,""window_innerHeight"":625,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,67550.31400009239,,response,,,,,,,,,,,continue,click button,,,,,,,,,88681.95499991998,88670.45000009239,20837.023,20837.75500021875,21120.136,88737.317,{},,
Volume calibration,html.Screen,0_1,2021-04-19T10:18:21.502Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29169.273000260626,,response,,,,,,,,,,,continue,click button,,,,,,,,,117920.44000001624,117906.59000026062,88670.726,88683.36000014096,88737.317,118009.149,,,
Task instructions,html.Screen,0_2,2021-04-19T10:18:29.372Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7778.735999997909,,response,,,,,,,,,,,continue,click button,,,,,,,,,125790.70000024512,125787.88499999791,117927.124,117921.06000008062,118009.149,125801.032,,,
Sounds,html.Screen,0_3_0_0,2021-04-19T10:18:33.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.8169999999955,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,130038.31000020728,130030.222,125784.54,125791.65000002831,125801.032,130046.849,,,
Judgement,html.Screen,0_3_0_1,2021-04-19T10:18:35.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2286.331000074206,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,132335.9449999407,132333.1800000742,130030.222,130039.0750002116,130046.849,132344.623,,,
Trial,flow.Sequence,0_3_0,2021-04-19T10:18:35.919Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6532.148000074201,,completion,,,,,,,,,1,,,,,,,,S,O,I,,132337.23000017926,132333.1800000742,125784.54,125791.39999998733,125801.032,132344.623,,,
Sounds,html.Screen,0_3_1_0,2021-04-19T10:18:40.157Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.847999999998,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,136575.530000031,136573.846,132329.374,132337.954999879,132344.623,136590.471,,,
Judgement,html.Screen,0_3_1_1,2021-04-19T10:18:41.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1070.8540002265072,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,137663.81500009447,137661.3250002265,136573.846,136576.00500015542,136590.471,137672.747,,,
Trial,flow.Sequence,0_3_1,2021-04-19T10:18:41.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5316.702000226505,,completion,,,,,,,,,2,,,,,,,,O,S,I,,137664.61500013247,137661.3250002265,132329.374,132337.760000024,132344.623,137672.747,,,
Sounds,html.Screen,0_3_2_0,2021-04-19T10:18:45.485Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.90400000001,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,141903.88000011444,141901.982,137656.09,137665.2999999933,137672.747,141918.651,,,
Judgement,html.Screen,0_3_2_1,2021-04-19T10:18:48.062Z,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2,,2559.6240001177066,,response,,,,,,,,,2,,1,click #choice-1,,,,,I,S,O,,144481.08999989927,144478.27500011772,141901.982,141904.34500016272,141918.651,144482.733,,,
Trial,flow.Sequence,0_3_2,2021-04-19T10:18:48.063Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6805.528000117716,,completion,,,,,,,,,2,,,,,,,,I,S,O,,144481.8199998699,144478.27500011772,137656.09,137665.09999986738,137672.747,144482.733,,,
Sounds,html.Screen,0_3_3_0,2021-04-19T10:18:52.297Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.812000000005,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,148715.70000005886,148711.985,144466.138,144482.47000016272,144482.733,148728.545,,,
Judgement,html.Screen,0_3_3_1,2021-04-19T10:18:53.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1194.3300001639,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,149925.44999998063,149922.8750001639,148711.985,148716.1400001496,148728.545,149928.832,,,
Trial,flow.Sequence,0_3_3,2021-04-19T10:18:53.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5440.142000163905,,completion,,,,,,,,,3,,,,,,,,O,I,S,,149926.17500014603,149922.8750001639,144466.138,144482.27499984205,144482.733,149928.832,,,
Sounds,html.Screen,0_3_4_0,2021-04-19T10:18:57.741Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244.963000000018,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,154159.9349998869,154157.771,149910.919,149926.7299999483,149928.832,154173.795,,,
Judgement,html.Screen,0_3_4_1,2021-04-19T10:18:58.810Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1052.6699998396507,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,155228.8800003007,155226.46499983966,154157.771,154160.37499997765,154173.795,155238.802,,,
Trial,flow.Sequence,0_3_4,2021-04-19T10:18:58.810Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5297.632999839669,,completion,,,,,,,,,1,,,,,,,,S,I,O,,155229.12999987602,155226.46499983966,149910.919,149926.55500024557,149928.832,155238.802,,,
Sounds,html.Screen,0_3_5_0,2021-04-19T10:19:03.051Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.754000000015,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,159469.87000014633,159468.078,155222.234,155229.33500027284,155238.802,159486.556,,,
Judgement,html.Screen,0_3_5_1,2021-04-19T10:19:04.034Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,963.1289998831635,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,160453.07500008494,160449.68499988317,159468.078,159470.42000014335,159486.556,160483.747,,,
Trial,flow.Sequence,0_3_5,2021-04-19T10:19:04.035Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5210.882999883179,,completion,,,,,,,,,3,,,,,,,,I,O,S,,160453.7700000219,160449.68499988317,155222.234,155229.2650002055,155238.802,160483.747,,,
Task,flow.Loop,0_3,2021-04-19T10:19:04.054Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34648.65299988317,,completion,,,0.8333333333333334,,,,,,,,,,,,,,,,,,160472.5200003013,160449.68499988317,125784.54,125791.17499990389,125801.032,160483.747,,,
Trap,html.Screen,0_4,2021-04-19T10:19:04.062Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,160480.8450001292,160449.68499988317,,160480.22999987006,,160483.747,,,
Thanks,html.Screen,0_5,2021-04-19T10:19:10.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6607.893000231561,,response,,,,,,,,,,,continue,click button,,,,,,,,,167092.8000002168,167091.64000023156,160451.131,160481.40500020236,160483.747,168975.354,,,
Headphone screening,flow.Sequence,0,2021-04-19T10:19:10.674Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145971.50400023157,,completion,,,,,,,,,,,,,,,,,,,,,167093.0449999869,167091.64000023156,20837.023,20837.62999996543,21120.136,168975.354,,,
Instructions,html.Page,1_0,2021-04-19T10:19:32.938Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20374.79599983833,,form submission,,,,,,,,,,,,,,,,,,,,,189356.4750002697,189350.14999983832,168725.639,168897.5499998778,168975.354,189372.103,,,
Holding screen,html.Screen,1_1_0_0,2021-04-19T10:19:42.944Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10023.476999999984,,timeout,,,,,,,,,,,,,,,,,,,,,199362.96499986202,199362.312,189322.127,189356.7650001496,189372.103,199395.58,,,
screen,html.Screen,1_1_0_1_0,2021-04-19T10:19:45.012Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,2031.5199999717006,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,201431.2149998732,201427.0999999717,199362.312,199363.214999903,199395.58,201443.561,,0,When
