sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-24T12:31:03.509Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":674,""window_innerWidth"":1536,""window_innerHeight"":722,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,5f3813c0e97de70a6ab4e9e2,,,,,,,,,,,,,,,5986.8199999906865,,form submission,,,,,,,,,,,,,,,,,,,,,12693.424999946728,12693.124999990687,6685.505,6689.524999936111,6706.305,12698.742,{},,
Introduction,html.Screen,1_0,2021-04-24T12:31:08.651Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5135.347999902062,,response,,,,,,,,,,,continue,click button,,,,,,,,,17835.484999930486,17834.089999902062,12691.952,12693.754999898374,12698.742,17837.086,,,
Volume calibration,html.Screen,1_1,2021-04-24T12:31:23.570Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14915.528999888465,,response,,,,,,,,,,,continue,click button,,,,,,,,,32754.109999979846,32752.614999888465,17830.213,17835.5749999173,17837.086,32759.22,,,
Task instructions,html.Screen,1_2,2021-04-24T12:31:32.682Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9106.954999973736,,response,,,,,,,,,,,continue,click button,,,,,,,,,41866.72499997076,41866.17499997374,32752.272,32754.179999930784,32759.22,41869.338,,,
Sounds,html.Screen,1_3_0_0,2021-04-24T12:31:36.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.616999999998,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,46113.51499997545,46112.098,41862.411,41866.88999994658,41869.338,46118.955,,,
Judgement,html.Screen,1_3_0_1,2021-04-24T12:31:40.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,4015.1049999530223,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,50134.694999898784,50134.059999953024,46112.098,46113.60499996226,46118.955,50139.277,,,
Trial,flow.Sequence,1_3_0,2021-04-24T12:31:40.951Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8264.72199995302,,completion,,,,,,,,,1,,,,,,,,S,I,O,,50135.63499995507,50134.059999953024,41862.411,41866.86499998905,41869.338,50139.277,,,
Sounds,html.Screen,1_3_1_0,2021-04-24T12:31:45.198Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.555,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,54382.20499991439,54381.897,50132.458,50135.724999941885,50139.277,54388.832,,,
Judgement,html.Screen,1_3_1_1,2021-04-24T12:31:46.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1307.4029999230333,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,55696.74499996472,55696.234999923036,54381.897,54382.2799999034,54388.832,55701.216,,,
Trial,flow.Sequence,1_3_1,2021-04-24T12:31:46.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5556.957999923034,,completion,,,,,,,,,3,,,,,,,,O,I,S,,55696.859999909066,55696.234999923036,50132.458,50135.699999984354,50139.277,55701.216,,,
