sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-26T11:11:47.367Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":929,""window_innerWidth"":1920,""window_innerHeight"":977,""devicePixelRatio"":1}",,,,,,,,,,,,,,,604f684950227bd07a37376d,,,,,,,,,,,,,,,7347.589999982752,,form submission,,,,,,,,,,,,,,,,,,,,,13535.984999965876,13535.604999982752,6171.245,6176.3499999651685,6188.015,13537.961,{},,
Introduction,html.Screen,1_0,2021-04-26T11:11:52.457Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5087.179000018292,,response,,,,,,,,,,,continue,click button,,,,,,,,,18626.730000018142,18625.14000001829,13521.324,13536.270000040531,13537.961,18637.962,,,
Volume calibration,html.Screen,1_1,2021-04-26T11:12:11.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19223.068000029132,,response,,,,,,,,,,,continue,click button,,,,,,,,,37862.760000047274,37861.03000002913,18621.315,18626.825000043027,18637.962,37871.246,,,
Task instructions,html.Screen,1_2,2021-04-26T11:12:21.485Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9782.203999983423,,response,,,,,,,,,,,continue,click button,,,,,,,,,47654.05500004999,47653.44999998342,37854.658,37862.835000036284,37871.246,47681.895,,,
Sounds,html.Screen,1_3_0_0,2021-04-26T11:12:25.754Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256.178,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,51923.070000018924,51921.49,47637.905,47654.24499998335,47681.895,51938.073,,,
Judgement,html.Screen,1_3_0_1,2021-04-26T11:12:26.714Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,945.3469999691952,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,52883.98000004236,52883.41999996919,51921.49,51923.16999996547,51938.073,52887.986,,,
Trial,flow.Sequence,1_3_0,2021-04-26T11:12:26.715Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201.524999969195,,completion,,,,,,,,,3,,,,,,,,O,I,S,,52884.19500004966,52883.41999996919,47637.905,47654.205000028014,47681.895,52887.986,,,
Sounds,html.Screen,1_3_1_0,2021-04-26T11:12:30.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.924000000006,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,57122.07499996293,57121.296,52871.546,52884.274999960326,52887.986,57137.91,,,
Judgement,html.Screen,1_3_1_1,2021-04-26T11:12:31.523Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,553.4900000106136,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,57692.03499995638,57691.40000001062,57121.296,57122.2350000171,57137.91,57704.652,,,
Trial,flow.Sequence,1_3_1,2021-04-26T11:12:31.523Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4803.41400001062,,completion,,,,,,,,,1,,,,,,,,S,O,I,,57692.30500003323,57691.40000001062,52871.546,52884.250000002794,52887.986,57704.652,,,
Sounds,html.Screen,1_3_2_0,2021-04-26T11:12:35.769Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.248999999996,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,61938.60999995377,61938.057,57687.897,57692.38999998197,57704.652,61954.901,,,
Judgement,html.Screen,1_3_2_1,2021-04-26T11:12:36.209Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,422.69900000708003,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,62378.35999997333,62377.60000000708,61938.057,61938.68000002112,61954.901,62387.913,,,
Trial,flow.Sequence,1_3_2,2021-04-26T11:12:36.209Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4672.948000007076,,completion,,,,,,,,,2,,,,,,,,O,S,I,,62378.469999996014,62377.60000000708,57687.897,57692.359999986365,57704.652,62387.913,,,
Sounds,html.Screen,1_3_3_0,2021-04-26T11:12:40.453Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.994999999995,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,66622.74500005879,66621.352,62371.253,62378.54000006337,62387.913,66637.908,,,
Judgement,html.Screen,1_3_3_1,2021-04-26T11:12:40.923Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,454.2169999664766,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,67092.62500004843,67092.12499996647,66621.352,66623.01500001922,66637.908,67104.633,,,
Trial,flow.Sequence,1_3_3,2021-04-26T11:12:40.923Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4704.211999966472,,completion,,,,,,,,,3,,,,,,,,I,O,S,,67092.76500006672,67092.12499996647,62371.253,62378.51499998942,62387.913,67104.633,,,
Sounds,html.Screen,1_3_4_0,2021-04-26T11:12:45.169Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.940000000002,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,71338.4800000349,71337.904,67087.906,67092.86500001326,67104.633,71354.573,,,
Judgement,html.Screen,1_3_4_1,2021-04-26T11:12:45.666Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,480.6970000395959,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,71835.86500003003,71835.2700000396,71337.904,71338.55500002392,71354.573,71837.906,,,
Trial,flow.Sequence,1_3_4,2021-04-26T11:12:45.667Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4730.637000039598,,completion,,,,,,,,,2,,,,,,,,I,S,O,,71836.00999996997,71835.2700000396,67087.906,67092.84000005573,67104.633,71837.906,,,
Sounds,html.Screen,1_3_5_0,2021-04-26T11:12:49.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.968999999997,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,76072.40499998443,76071.263,71821.536,71836.10499999486,71837.906,76087.875,,,
Judgement,html.Screen,1_3_5_1,2021-04-26T11:12:54.430Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,4510.669999957085,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,80599.15500006173,80598.54499995708,76071.263,76072.67500006128,76087.875,80604.549,,,
Trial,flow.Sequence,1_3_5,2021-04-26T11:12:54.430Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8760.638999957082,,completion,,,,,,,,,1,,,,,,,,S,I,O,,80599.27000000607,80598.54499995708,71821.536,71836.07499999925,71837.906,80604.549,,,
Task,flow.Loop,1_3,2021-04-26T11:12:54.432Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32916.64999995709,,completion,,,1,,,,,,,,,,,,,,,,,,80601.91500000656,80598.54499995708,47637.905,47654.16000003461,47681.895,80604.549,,,
Trap,html.Screen,1_4,2021-04-26T11:12:54.433Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,80602.57500002626,80598.54499995708,,80602.51500003505,,80604.549,,,
Thanks,html.Screen,1_5,2021-04-26T11:13:00.971Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6534.901000016951,,response,,,,,,,,,,,continue,click button,,,,,,,,,87140.33500000369,87139.45000001695,80587.954,80602.6299999794,80604.549,90671.174,,,
Headphone screening,flow.Sequence,1,2021-04-26T11:13:00.971Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73601.48900001695,,completion,,,,,,,,,,,,,,,,,,,,,87140.4399999883,87139.45000001695,13521.324,13536.235000006855,13537.961,90671.174,,,
Instructions,html.Page,2_0,2021-04-26T11:14:11.472Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66970.54599995597,,form submission,,,,,,,,,,,,,,,,,,,,,157642.08000001963,157641.71999995597,90654.508,90673.87499997858,90671.174,157654.423,,,
Holding screen,html.Screen,2_1_0_0,2021-04-26T11:14:21.469Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9999.968999999983,,timeout,,,,,,,,,,,,,,,,,,,,,167638.86499998625,167637.799,157637.901,157642.20000000205,157654.423,167654.392,,,
