sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-26T14:29:42.328Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_c/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:88.0) Gecko/20100101 Firefox/88.0"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":778,""window_innerWidth"":1440,""window_innerHeight"":826,""devicePixelRatio"":2}",,,,,,,,,,,,,,,5f8d77f0b348950659f1919e,,,,,,,,,,,,,,,13484.92,,form submission,,,,,,,,,,,,,,,,,,,,,27823,27822,14320.42,14314,14337.08,27837.46,{},,
Introduction,html.Screen,1_0,2021-04-26T14:29:48.294Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5947.540000000001,,response,,,,,,,,,,,continue,click button,,,,,,,,,33789,33785,27820.8,27824,27837.46,33804.32,,,
Volume calibration,html.Screen,1_1,2021-04-26T14:30:19.903Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31591.68,,response,,,,,,,,,,,continue,click button,,,,,,,,,65399,65396,33787.64,33790,33804.32,65420.86,,,
Task instructions,html.Screen,1_2,2021-04-26T14:30:28.928Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000.14,,response,,,,,,,,,,,continue,click button,,,,,,,,,74425,74421,65404.18,65400,65420.86,74454.44,,,
Sounds,html.Screen,1_3_0_0,2021-04-26T14:30:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4251.080000000002,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,78692,78688.88,74438.8,74428,74454.44,78705.52,,,
Judgement,html.Screen,1_3_0_1,2021-04-26T14:30:35.001Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1789.479999999996,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,80498,80495,78688.88,78693,78705.52,80522.3,,,
Trial,flow.Sequence,1_3_0,2021-04-26T14:30:35.002Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6040.559999999998,,completion,,,,,,,,,1,,,,,,,,S,I,O,,80500,80495,74438.8,74428,74454.44,80522.3,,,
Sounds,html.Screen,1_3_1_0,2021-04-26T14:30:39.260Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.059999999998,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,84757,84755.68,80505.58,80501,80522.3,84772.36,,,
Judgement,html.Screen,1_3_1_1,2021-04-26T14:30:40.685Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1407.6399999999994,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,86183,86180,84755.68,84758,84772.36,86205.74,,,
Trial,flow.Sequence,1_3_1,2021-04-26T14:30:40.686Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657.699999999997,,completion,,,,,,,,,2,,,,,,,,O,S,I,,86184,86180,80505.58,80501,80522.3,86205.74,,,
Sounds,html.Screen,1_3_2_0,2021-04-26T14:30:44.943Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.119999999995,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,90441,90439.18,86189.06,86184,86205.74,90455.86,,,
Judgement,html.Screen,1_3_2_1,2021-04-26T14:30:46.835Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1873.1399999999994,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,92333,92329,90439.18,90442,90455.86,92355.94,,,
Trial,flow.Sequence,1_3_2,2021-04-26T14:30:46.836Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123.259999999995,,completion,,,,,,,,,1,,,,,,,,S,O,I,,92333,92329,86189.06,86184,86205.74,92355.94,,,
Sounds,html.Screen,1_3_3_0,2021-04-26T14:30:51.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.080000000002,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,96590,96588.84,92339.26,92333,92355.94,96606.02,,,
Judgement,html.Screen,1_3_3_1,2021-04-26T14:30:52.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1229.979999999996,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,97838,97836,96588.84,96591,96606.02,97856.06,,,
Trial,flow.Sequence,1_3_3,2021-04-26T14:30:52.341Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5480.059999999998,,completion,,,,,,,,,3,,,,,,,,O,I,S,,97839,97836,92339.26,92333,92355.94,97856.06,,,
