sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-30T11:53:57.938Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1475,""screen_height"":830,""scroll_width"":1475,""scroll_height"":640,""window_innerWidth"":1475,""window_innerHeight"":688,""devicePixelRatio"":1.3020833730697632}",,,,,,,,,,,,,,,5eafd54c4f8d66000ad64e14,,,,,,,,,,,,,,,5702.4729999994015,,form submission,,,,,,,,,,,,,,,,,,,,,27005.694999999832,27005.459999999402,21286.666,18370.999999999185,21302.987,27052.98,{},,
Introduction,html.Screen,1_0,2021-04-30T11:54:01.816Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3829.3299999999617,,response,,,,,,,,,,,continue,click button,,,,,,,,,30884.19999999951,30882.30999999996,27003.29,27005.874999999833,27052.98,30886.315,,,
Volume calibration,html.Screen,1_1,2021-04-30T11:54:21.802Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19981.964999999687,,response,,,,,,,,,,,continue,click button,,,,,,,,,50869.949999999335,50868.279999999686,30869.681,30884.314999999333,30886.315,50898.477,,,
Task instructions,html.Screen,1_2,2021-04-30T11:54:28.051Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6219.767999999662,,response,,,,,,,,,,,continue,click button,,,,,,,,,57119.009999999435,57118.24499999966,50852.935,50870.04999999954,50898.477,57147.407,,,
Sounds,html.Screen,1_3_0_0,2021-04-30T11:54:32.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4255.493000000002,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,61388.98999999947,61386.388,57102.916,57119.26499999936,57147.407,61402.9,,,
Judgement,html.Screen,1_3_0_1,2021-04-30T11:54:33.171Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,834.6799999999785,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,62238.59999999968,62237.57999999998,61386.388,61389.11999999982,61402.9,62253.029,,,
Trial,flow.Sequence,1_3_0,2021-04-30T11:54:33.171Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5090.172999999981,,completion,,,,,,,,,2,,,,,,,,O,S,I,,62238.82499999945,62237.57999999998,57102.916,57119.21999999959,57147.407,62253.029,,,
Sounds,html.Screen,1_3_1_0,2021-04-30T11:54:37.420Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.844999999994,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,66487.03499999919,66486.276,62236.261,62238.914999999906,62253.029,66502.874,,,
Judgement,html.Screen,1_3_1_1,2021-04-30T11:54:37.901Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,464.7809999994788,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,66968.60500000003,66967.65499999947,66486.276,66487.21999999997,66502.874,66969.584,,,
Trial,flow.Sequence,1_3_1,2021-04-30T11:54:37.901Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4714.625999999473,,completion,,,,,,,,,3,,,,,,,,O,I,S,,66968.73999999935,66967.65499999947,62236.261,62238.884999999755,62253.029,66969.584,,,
