sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2021-04-30T12:46:06.894Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific_music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1680,""screen_height"":1050,""scroll_width"":1409,""scroll_height"":794,""window_innerWidth"":1409,""window_innerHeight"":842,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5efd22056ec55516587f32a6,,,,,,,,,,,,,,,9027.37599987349,,form submission,,,,,,,,,,,,,,,,,,,,,19538.274999940768,19537.40999987349,10476.335,10481.249999953434,10510.034,19694.829,{},,
Introduction,html.Screen,1_0,2021-04-30T12:46:15.087Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8032.780999943523,,response,,,,,,,,,,,continue,click button,,,,,,,,,27730.7149998378,27727.609999943525,19527.83,19539.27499987185,19694.829,27744.12,,,
Volume calibration,html.Screen,1_1,2021-04-30T12:46:43.503Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28399.6550000041,,response,,,,,,,,,,,continue,click button,,,,,,,,,56147.52999995835,56143.7750000041,27727.382,27730.959999840707,27744.12,56150.563,,,
Task instructions,html.Screen,1_2,2021-04-30T12:46:54.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10881.036999871103,,response,,,,,,,,,,,continue,click button,,,,,,,,,67032.41499979049,67031.5999998711,56133.757,56147.72000000812,56150.563,67038.616,,,
Sounds,html.Screen,1_3_0_0,2021-04-30T12:46:58.639Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258.442999999999,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,71283.43999991193,71280.351,67021.914,67032.81999984756,67038.616,71297.059,,,
Judgement,html.Screen,1_3_0_1,2021-04-30T12:47:01.092Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,2438.4509997948917,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,73736.4599998109,73735.50999979489,71280.351,71283.6749998387,71297.059,73751.937,,,
Trial,flow.Sequence,1_3_0,2021-04-30T12:47:01.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6696.893999794891,,completion,,,,,,,,,3,,,,,,,,O,I,S,,73736.90499993972,73735.50999979489,67021.914,67032.72000001743,67038.616,73751.937,,,
Sounds,html.Screen,1_3_1_0,2021-04-30T12:47:05.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241.760999999999,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,77977.74000000209,77977.12,73735.231,73737.14499990456,73751.937,77993.698,,,
Judgement,html.Screen,1_3_1_1,2021-04-30T12:47:07.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,2037.8719998754968,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,80032.43999998085,80031.5699998755,77977.12,77977.95500000939,77993.698,80047.78,,,
Trial,flow.Sequence,1_3_1,2021-04-30T12:47:07.388Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6279.632999875495,,completion,,,,,,,,,2,,,,,,,,I,S,O,,80032.7399999369,80031.5699998755,73735.231,73737.0749998372,73751.937,80047.78,,,
Sounds,html.Screen,1_3_2_0,2021-04-30T12:47:11.629Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241.679000000004,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,84273.31499988213,84272.747,80031.191,80032.94999990612,80047.78,84289.459,,,
Judgement,html.Screen,1_3_2_1,2021-04-30T12:47:13.116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1470.0510000034992,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,85760.31999988481,85759.5100000035,84272.747,84273.51500000805,84289.459,85775.734,,,
Trial,flow.Sequence,1_3_2,2021-04-30T12:47:13.116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5711.730000003503,,completion,,,,,,,,,3,,,,,,,,I,O,S,,85760.60999999754,85759.5100000035,80031.191,80032.88499987684,80047.78,85775.734,,,
Sounds,html.Screen,1_3_3_0,2021-04-30T12:47:17.357Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4241.771000000008,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,90001.439999789,90000.765,85759.02,85760.84999996237,85775.734,90017.505,,,
Judgement,html.Screen,1_3_3_1,2021-04-30T12:47:18.468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1093.9749999631895,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,91112.34999983571,91111.4799999632,90000.765,90001.63499987684,90017.505,91119.754,,,
Trial,flow.Sequence,1_3_3,2021-04-30T12:47:18.468Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5335.745999963197,,completion,,,,,,,,,1,,,,,,,,S,O,I,,91112.62499983422,91111.4799999632,85759.02,85760.76999981888,85775.734,91119.754,,,
Sounds,html.Screen,1_3_4_0,2021-04-30T12:47:22.718Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258.354999999996,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,95362.0449998416,95361.415,91102.936,91112.82999999821,91119.754,95378.109,,,
Judgement,html.Screen,1_3_4_1,2021-04-30T12:47:24.092Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1357.3659999940428,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,96736.28499987535,96735.47499999404,95361.415,95362.21499997191,95378.109,96747.481,,,
Trial,flow.Sequence,1_3_4,2021-04-30T12:47:24.092Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5615.720999994039,,completion,,,,,,,,,2,,,,,,,,O,S,I,,96736.57499998808,96735.47499999404,91102.936,91112.76499996893,91119.754,96747.481,,,
Sounds,html.Screen,1_3_5_0,2021-04-30T12:47:28.346Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4258.4619999999995,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,100989.88499981351,100989.233,96730.811,96736.80999991484,96747.481,101005.943,,,
Judgement,html.Screen,1_3_5_1,2021-04-30T12:47:29.332Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,969.4719999935187,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,101976.18499980308,101975.41499999352,100989.233,100990.06999982521,101005.943,101991.255,,,
Trial,flow.Sequence,1_3_5,2021-04-30T12:47:29.332Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5227.933999993518,,completion,,,,,,,,,1,,,,,,,,S,I,O,,101976.46999987774,101975.41499999352,96730.811,96736.74499988556,96747.481,101991.255,,,
Task,flow.Loop,1_3,2021-04-30T12:47:29.338Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34936.79899999352,,completion,,,1,,,,,,,,,,,,,,,,,,101982.57999983616,101975.41499999352,67021.914,67032.62999979779,67038.616,101991.255,,,
Trap,html.Screen,1_4,2021-04-30T12:47:29.342Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,101985.90999981388,101975.41499999352,,101985.7099999208,,101991.255,,,
Thanks,html.Screen,1_5,2021-04-30T12:47:35.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6456.324999919976,,response,,,,,,,,,,,continue,click button,,,,,,,,,108448.39499983937,108447.57999991998,101974.589,101986.09499982558,101991.255,118256.756,,,
Headphone screening,flow.Sequence,1,2021-04-30T12:47:35.804Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88752.75099991998,,completion,,,,,,,,,,,,,,,,,,,,,108448.65499995649,108447.57999991998,19527.83,19539.204999804497,19694.829,118256.756,,,
Instructions,html.Page,2_0,2021-04-30T12:48:13.756Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28143.778999789676,,form submission,,,,,,,,,,,,,,,,,,,,,146400.87499981746,146400.53499978967,118206.703,118259.40499990247,118256.756,146412.538,,,
Holding screen,html.Screen,2_1_0_0,2021-04-30T12:48:23.755Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10070.059000000008,,timeout,,,,,,,,,,,,,,,,,,,,,156399.70999979414,156399.231,146395.861,146401.25999995507,146412.538,156482.597,,,
