sender,sender_type,sender_id,timestamp,meta,,Provo_ID,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,music_genres,offensiveness,pleasantness,position_correct,preference,response,response_action,song_name,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Demography form,html.Form,0,2021-03-07T04:18:54.888Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/spr_music_pilot_a/?__pilotToken=a87ff679a2f3e71d9181a67b7542122c&__oauthToken=cc604b6e7d449fc5fe7a311b47aeaf3d810b53f5795c726b331b83656855f6f4"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":2560,""screen_height"":1440,""scroll_width"":2560,""scroll_height"":1287,""window_innerWidth"":2560,""window_innerHeight"":1335,""devicePixelRatio"":1}",,,21,,,,,7200.748999956581,form submission,,male,,,,,,,,,,,,,,,12897.624999983236,12896.879999956582,5662.832,5670.694999978878,5696.131,12900.855,"{""__pilotToken"":""a87ff679a2f3e71d9181a67b7542122c"",""__oauthToken"":""cc604b6e7d449fc5fe7a311b47aeaf3d810b53f5795c726b331b83656855f6f4""}",,
Instructions,html.Page,1,2021-03-07T04:18:56.814Z,,,,,,,,,1921.4099999661375,form submission,,,,,,,,,,,,,,,,,14823.615000001155,14822.264999966137,12884.213,12897.924999997485,12900.855,14835.352,,,
Holding screen,html.Screen,2_0,2021-03-07T04:19:03.819Z,,,,,,,,,7021.4,timeout,,,,,,,,,,,,,,,,,21827.929999970365,21823.383,14818.82,14823.854999965988,14835.352,21856.752,,,
screen,html.Screen,2_1_0,2021-03-07T04:19:04.648Z,,,54,,,,,,798.017999964628,response,,,,100,,,,,,Space,keypress(Space),,,,,At --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,22656.409999995958,22654.76999996463,21823.383,21831.86499995645,21856.752,22657.266,,0,At
screen,html.Screen,2_1_1,2021-03-07T04:19:04.976Z,,,54,,,,,,326.21399999532514,response,,,,100,,,,,,Space,keypress(Space),,,,,-- the ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,22984.40999997547,22983.479999995325,22640.707,22656.764999963343,22657.266,22990.776,,1,the
screen,html.Screen,2_1_2,2021-03-07T04:19:05.303Z,,,54,,,,,,319.6439999943359,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- time --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,23311.33499997668,23310.419999994338,22974.193,22984.679999994114,22990.776,23324.286,,2,time
screen,html.Screen,2_1_3,2021-03-07T04:19:05.695Z,,,54,,,,,,378.1290000070221,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- the ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,23703.289999975823,23702.415000007022,23307.743,23311.604999995325,23324.286,23707.914,,3,the
screen,html.Screen,2_1_4,2021-03-07T04:19:06.078Z,,,54,,,,,,378.49599998897247,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- French ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,24087.215000006836,24086.409999988973,23691.335,23703.554999956395,23707.914,24091.54,,4,French
screen,html.Screen,2_1_5,2021-03-07T04:19:06.494Z,,,54,,,,,,410.81999998403626,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ crown ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,24503.19999997737,24502.359999984037,24074.917,24087.475000007544,24091.54,24508.49,,5,crown
screen,html.Screen,2_1_6,2021-03-07T04:19:06.878Z,,,54,,,,,,377.46999998506,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- secured ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,24886.484999966342,24885.95999998506,24491.873,24503.469999996014,24508.49,24891.931,,6,secured
screen,html.Screen,2_1_7,2021-03-07T04:19:07.254Z,,,54,,,,,,370.2789999571214,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- much -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,25263.074999966193,25262.209999957122,24875.446,24886.59499998903,24891.931,25275.558,,7,much
screen,html.Screen,2_1_8,2021-03-07T04:19:07.598Z,,,54,,,,,,330.69699999150544,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- of --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,25607.224999985192,25606.254999991506,25259.025,25263.3199999691,25275.558,25609.202,,8,of
screen,html.Screen,2_1_9,2021-03-07T04:19:08.014Z,,,54,,,,,,412.95799999316296,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- its ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,26023.09500001138,26022.159999993164,25592.559,25607.469999988098,25609.202,26026.087,,9,its
screen,html.Screen,2_1_10,2021-03-07T04:19:08.430Z,,,54,,,,,,412.00300001056166,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- revenue --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,26439.01500001084,26438.09000001056,26009.535,26023.33999995608,26026.087,26443.083,,10,revenue
screen,html.Screen,2_1_11,2021-03-07T04:19:08.814Z,,,54,,,,,,378.93699996323267,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- by<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,26822.954999981448,26822.01999996323,26426.461,26439.269999973476,26443.083,26826.667,,11,by
screen,html.Screen,2_1_12,2021-03-07T04:19:09.166Z,,,54,,,,,,347.2730000078591,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>issuing ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,27174.859999970067,27173.94000000786,26810.056,26823.199999984354,26826.667,27176.892,,12,issuing
screen,html.Screen,2_1_13,2021-03-07T04:19:09.510Z,,,54,,,,,,340.99299997928756,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- government ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,27518.82499997737,27517.884999979287,27160.267,27175.09999999311,27176.892,27527.053,,13,government
screen,html.Screen,2_1_14,2021-03-07T04:19:09.958Z,,,54,,,,,,438.7470000054018,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- bonds. -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,27966.669999994338,27965.8000000054,27510.494,27519.084999978077,27527.053,27977.373,,14,bonds.
screen,html.Screen,2_1_15,2021-03-07T04:19:10.318Z,,,54,,,,,,348.3070000090156,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ In ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,28326.464999991003,28325.680000009015,27960.805,27966.914999997243,27977.373,28344.29,,15,In
screen,html.Screen,2_1_16,2021-03-07T04:19:10.670Z,,,54,,,,,,333.4849999891958,response,,,,100,,,,,,Space,keypress(Space),,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- 1727, -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",28678.649999957997,28677.774999989197,28311.005,28326.704999955837,28344.29,28694.565,,16,"1727,"
screen,html.Screen,2_1_17,2021-03-07T04:19:11.062Z,,,54,,,,,,375.134999992737,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- in ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,29070.524999988265,29069.699999992736,28677.892,28678.899999998976,28694.565,29078.017,,17,in
screen,html.Screen,2_1_18,2021-03-07T04:19:11.430Z,,,54,,,,,,359.487999979865,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- order -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,29438.314999977592,29437.504999979865,29061.5,29070.765000011306,29078.017,29444.948,,18,order
screen,html.Screen,2_1_19,2021-03-07T04:19:11.830Z,,,54,,,,,,392.57200000094963,response,,,,100,,,,,,Space,keypress(Space),,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- to ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,29838.38500001002,29837.52000000095,29428.403,29438.564999960363,29444.948,29845.216,,19,to
