sender,sender_type,sender_id,timestamp,meta,,Provo_ID,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,music_genres,offensiveness,pleasantness,position_correct,preference,response,response_action,song_name,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Demography form,html.Form,0,2021-03-07T12:57:58.413Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/spr_music_pilot_a/?__pilotToken=c51ce410c124a10e0db5e4b97fc2af39&__oauthToken=cc604b6e7d449fc5fe7a311b47aeaf3d810b53f5795c726b331b83656855f6f4"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.190 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":2560,""screen_height"":1440,""scroll_width"":2560,""scroll_height"":1230,""window_innerWidth"":2560,""window_innerHeight"":1278,""devicePixelRatio"":1}",,,21,,,,,16794.523000006444,form submission,,female,,,,,,,,,,,,,,,,,21080.60500002466,21079.670000006445,4244.042,4259.480000007898,4285.147,21088.253,"{""__pilotToken"":""c51ce410c124a10e0db5e4b97fc2af39"",""__oauthToken"":""cc604b6e7d449fc5fe7a311b47aeaf3d810b53f5795c726b331b83656855f6f4""}",,
Instructions,html.Page,1,2021-03-07T12:57:59.906Z,,,,,,,,,1484.7420000531965,form submission,,,,,,,,,,,,,,,,,,,22573.41000007,22572.995000053197,21071.75,21081.2900000019,21088.253,22591.042,,,
Holding screen,html.Screen,2_0,2021-03-07T12:58:06.916Z,,,,,,,,,7002.9339999999975,timeout,,,,,,,,,,,,,,,,,,,29584.185000043362,29577.296,22556.043,22573.65000003483,22591.042,29593.976,,,
screen,html.Screen,2_1_0,2021-03-07T12:58:08.044Z,,,54,,,,,,1116.6240001076621,response,,,,100,,,,,,,Space,keypress(Space),,,,,,At --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,30712.085000006482,30710.60000010766,29577.296,29584.64500005357,29593.976,30728.071,,0,At
screen,html.Screen,2_1_1,2021-03-07T12:58:08.404Z,,,54,,,,,,342.4590000263379,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- the ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31071.465000044554,31070.530000026338,30694.79,30712.45000010822,30728.071,31078.163,,1,the
screen,html.Screen,2_1_2,2021-03-07T12:58:08.716Z,,,54,,,,,,304.2620000761817,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- time --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31383.350000018254,31382.425000076182,31061.66,31071.755000040866,31078.163,31395.128,,2,time
screen,html.Screen,2_1_3,2021-03-07T12:58:09.012Z,,,54,,,,,,283.2770000132987,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- the ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31679.31000003591,31678.4050000133,31378.536,31383.64500005264,31395.128,31695.362,,3,the
screen,html.Screen,2_1_4,2021-03-07T12:58:09.323Z,,,54,,,,,,294.99300001627853,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- French ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,31991.265000076964,31990.35500001628,31678.709,31679.595000110567,31695.362,32012.237,,4,French
screen,html.Screen,2_1_5,2021-03-07T12:58:09.723Z,,,54,,,,,,378.0930000820299,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ crown ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,32391.210000030696,32390.33000008203,31978.909,31991.550000035204,32012.237,32395.811,,5,crown
screen,html.Screen,2_1_6,2021-03-07T12:58:10.123Z,,,54,,,,,,394.45400007603166,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- secured ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,32791.1600000225,32790.26500007603,32379.155,32391.50500006508,32395.811,32796.092,,6,secured
screen,html.Screen,2_1_7,2021-03-07T12:58:10.484Z,,,54,,,,,,354.98800009786646,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- much -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,33152.02000003774,33151.08000009786,32779.463,32791.43500002101,32796.092,33162.942,,7,much
screen,html.Screen,2_1_8,2021-03-07T12:58:10.867Z,,,54,,,,,,371.1730000458556,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- of --- ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,33534.935000003316,33534.11500004586,33146.359,33152.289999998175,33162.942,33546.531,,8,of
screen,html.Screen,2_1_9,2021-03-07T12:58:11.275Z,,,54,,,,,,395.53400006839365,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- its ------- --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,33942.975000012666,33942.065000068396,33529.938,33535.20500008017,33546.531,33946.837,,9,its
screen,html.Screen,2_1_10,2021-03-07T12:58:11.651Z,,,54,,,,,,371.21300000167685,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- revenue --<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,34318.94500006456,34318.05000000168,33930.201,33943.235000013374,33946.837,34330.372,,10,revenue
screen,html.Screen,2_1_11,2021-03-07T12:58:11.995Z,,,54,,,,,,331.6330000492453,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- by<br>------- ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,34662.950000027195,34662.00500004925,34313.794,34319.22000006307,34330.372,34680.652,,11,by
screen,html.Screen,2_1_12,2021-03-07T12:58:12.331Z,,,54,,,,,,317.28800003021024,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>issuing ---------- ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,34998.93500003964,34997.94000003021,34647.313,34663.2100000279,34680.652,35014.156,,12,issuing
screen,html.Screen,2_1_13,2021-03-07T12:58:12.691Z,,,54,,,,,,343.6840000696975,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- government ------ -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,35358.72500005644,35357.8400000697,34997.569,34999.195000040345,35014.156,35364.388,,13,government
screen,html.Screen,2_1_14,2021-03-07T12:58:13.051Z,,,54,,,,,,353.4420000960017,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- bonds. -- ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,35718.75500003807,35717.830000096,35347.789,35358.975000097416,35364.388,35731.234,,14,bonds.
screen,html.Screen,2_1_15,2021-03-07T12:58:13.427Z,,,54,,,,,,362.45600000879494,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ In ----- -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,36094.550000038,36093.69000000879,35714.703,35719.110000063665,35731.234,36098.243,,15,In
screen,html.Screen,2_1_16,2021-03-07T12:58:13.763Z,,,54,,,,,,331.40700006370025,response,,,,100,,,,,,,Space,keypress(Space),,,,,,"-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- 1727, -- ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------",36430.505000054836,36429.6500000637,36081.559,36094.81500007678,36098.243,36450.413,,16,"1727,"
screen,html.Screen,2_1_17,2021-03-07T12:58:14.107Z,,,54,,,,,,323.1720000753994,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- in ----- -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,36774.440000066534,36773.5850000754,36415.158,36430.765000055544,36450.413,36781.897,,17,in
screen,html.Screen,2_1_18,2021-03-07T12:58:14.451Z,,,54,,,,,,335.6280000087572,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- order -- ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,37118.340000044554,37117.525000008754,36765.36,36774.69000010751,36781.897,37132.258,,18,order
screen,html.Screen,2_1_19,2021-03-07T12:58:14.850Z,,,54,,,,,,385.1920000430255,response,,,,100,,,,,,,Space,keypress(Space),,,,,,-- --- ---- --- ------ ----- ------- ---- -- --- ------- --<br>------- ---------- ------ -- ----- -- ----- to ---- ------<br>--- ----- --- --- ------ -------- ----- --- ------ ----- --<br>----- ----- ---------- --- --- ------ ------ ---- -- ------<br>------- --- ------ ----- --- ---- ------- -- ---- --- --<br>------- ------,37518.270000000484,37517.45000004303,37115.611,37118.59500000719,37132.258,37532.518,,19,to
