Item;cond;set;sub
1;SLC;;1
2;SLC;;1
3;SLC;;1
4;SLC;;1
5;LYR;A;1
6;LYR;A;1
7;LYR;A;1
8;LYR;A;1
9;INSTR;B;1
10;INSTR;B;1
11;INSTR;B;1
12;INSTR;B;1
1;LYR;A;2
2;LYR;A;2
3;LYR;A;2
4;LYR;A;2
5;INSTR;B;2
6;INSTR;B;2
7;INSTR;B;2
8;INSTR;B;2
9;SLC;;2
10;SLC;;2
11;SLC;;2
12;SLC;;2
1;INSTR;B;3
2;INSTR;B;3
3;INSTR;B;3
4;INSTR;B;3
5;SLC;;3
6;SLC;;3
7;SLC;;3
8;SLC;;3
9;LYR;A;3
10;LYR;A;3
11;LYR;A;3
12;LYR;A;3
1;SLC;;4
2;SLC;;4
3;SLC;;4
4;SLC;;4
5;LYR;B;4
6;LYR;B;4
7;LYR;B;4
8;LYR;B;4
9;INSTR;A;4
10;INSTR;A;4
11;INSTR;A;4
12;INSTR;A;4
1;LYR;B;5
2;LYR;B;5
3;LYR;B;5
4;LYR;B;5
5;INSTR;A;5
6;INSTR;A;5
7;INSTR;A;5
8;INSTR;A;5
9;SLC;;5
10;SLC;;5
11;SLC;;5
12;SLC;;5
1;INSTR;A;6
2;INSTR;A;6
3;INSTR;A;6
4;INSTR;A;6
5;SLC;;6
6;SLC;;6
7;SLC;;6
8;SLC;;6
9;LYR;B;6
10;LYR;B;6
11;LYR;B;6
12;LYR;B;6
