"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"1",1,13,"silence",0.701636899984385,53,75.5376463255845,"Experiment 1a"
"2",1,10,"silence",0.525355883320682,49,93.2701080461489,"Experiment 1a"
"3",1,4,"silence",0.580546399988903,53,91.2933057564616,"Experiment 1a"
"4",1,7,"silence",0.530541333322327,52,98.0130985730526,"Experiment 1a"
"5",1,1,"silence",0.606490449990352,58,95.6321735996381,"Experiment 1a"
"6",1,5,"lyrical",0.5067229999894,52,102.620169207018,"Experiment 1a"
"7",1,14,"lyrical",0.403836699988829,50,123.812422202794,"Experiment 1a"
"8",1,11,"lyrical",0.463300516657553,53,114.396591616959,"Experiment 1a"
"9",1,8,"lyrical",0.406689216657437,50,122.944002329219,"Experiment 1a"
"10",1,2,"lyrical",0.512548883321423,57,111.208904857285,"Experiment 1a"
"11",1,9,"instrumental",0.310805983322129,45,144.784857482491,"Experiment 1a"
"12",1,12,"instrumental",0.537811499986363,61,113.42263971958,"Experiment 1a"
"13",1,6,"instrumental",0.379038449988004,52,137.189248219134,"Experiment 1a"
"14",1,3,"instrumental",0.497683299988175,56,112.521356455663,"Experiment 1a"
"15",1,15,"instrumental",0.387059916657683,45,116.261069832757,"Experiment 1a"
"16",2,4,"silence",0.368425333326007,53,143.855471396431,"Experiment 1a"
"17",2,1,"silence",0.373992433324029,58,155.08335151195,"Experiment 1a"
"18",2,13,"silence",0.3362780500002,53,157.607670200206,"Experiment 1a"
"19",2,7,"silence",0.343889983317827,52,151.211150433367,"Experiment 1a"
"20",2,10,"silence",0.275023716645933,49,178.166452688452,"Experiment 1a"
"21",2,8,"lyrical",0.288554866666238,50,173.277271590201,"Experiment 1a"
"22",2,11,"lyrical",0.3558267999881,53,148.948870635299,"Experiment 1a"
"23",2,5,"lyrical",0.304297099994831,52,170.885624611221,"Experiment 1a"
"24",2,14,"lyrical",0.285950466659727,50,174.855458653609,"Experiment 1a"
"25",2,2,"lyrical",0.277201766664659,57,205.626395119462,"Experiment 1a"
"26",2,6,"instrumental",0.239316366646586,52,217.285598676967,"Experiment 1a"
"27",2,15,"instrumental",0.219439633321696,45,205.067787066662,"Experiment 1a"
"28",2,9,"instrumental",0.191135533319957,45,235.435029888822,"Experiment 1a"
"29",2,12,"instrumental",0.292713849982792,61,208.39464891595,"Experiment 1a"
"30",2,3,"instrumental",0.32879843330777,56,170.317113243607,"Experiment 1a"
"31",3,7,"silence",0.516333333333335,52,100.710135571336,"Experiment 1a"
"32",3,13,"silence",0.518216666666672,53,102.273823690219,"Experiment 1a"
"33",3,1,"silence",0.471100000000007,58,123.116111229037,"Experiment 1a"
"34",3,4,"silence",0.469950000000005,53,112.777955101605,"Experiment 1a"
"35",3,10,"silence",0.362116666666677,49,135.315506052373,"Experiment 1a"
"36",3,14,"lyrical",0.394316666666676,50,126.801639967874,"Experiment 1a"
"37",3,8,"lyrical",0.395566666666674,50,126.400943793711,"Experiment 1a"
"38",3,2,"lyrical",0.442916666666676,57,128.692380056441,"Experiment 1a"
"39",3,11,"lyrical",0.388516666666678,53,136.41628415769,"Experiment 1a"
"40",3,5,"lyrical",0.383233333333343,52,135.687570670606,"Experiment 1a"
"41",3,9,"instrumental",0.347600000000014,45,129.459148446485,"Experiment 1a"
